Rank	Name	Games	Plays	Yds	Avg	TDs	Ydspgm	Wins	Losses	Ties
1	Louisiana Tech	12	1054	6935	6.58	84	577.92	9	3	0
2	Baylor	13	1072	7439	6.94	76	572.23	8	5	0
3	Texas A&M	13	1025	7261	7.08	78	558.54	11	2	0
4	Oklahoma St.	13	1014	7111	7.01	73	547.00	8	5	0
5	Oregon	13	1058	6986	6.60	89	537.38	12	1	0
6	Marshall	12	1087	6411	5.90	65	534.25	5	7	0
7	Arizona	13	1082	6840	6.32	65	526.15	8	5	0
8	Nevada	13	1080	6693	6.20	66	514.85	7	6	0
9	Clemson	13	1062	6665	6.28	68	512.69	11	2	0
10	West Virginia	13	998	6526	6.54	69	502.00	7	6	0
11	Troy	12	966	5985	6.20	45	498.75	5	7	0
12	Oklahoma	13	1005	6472	6.44	64	497.85	10	3	0
13	Texas Tech	13	993	6446	6.49	62	495.85	8	5	0
14	North Carolina	12	898	5827	6.49	62	485.58	8	4	0
15	Houston	12	984	5755	5.85	47	479.58	5	7	0
16	Fresno St.	13	1006	6208	6.17	66	477.54	9	4	0
17	Syracuse	13	1028	6188	6.02	49	476.00	8	5	0
18	Tennessee	12	890	5711	6.42	56	475.92	5	7	0
19	Florida St.	14	941	6601	7.01	68	471.50	12	2	0
20	Northern Ill.	14	1023	6574	6.43	71	469.57	12	2	0
21	Utah St.	13	893	6098	6.83	59	469.08	11	2	0
22	Georgia	14	924	6547	7.09	72	467.64	12	2	0
23	Arkansas St.	13	952	6067	6.37	58	466.69	10	3	0
24	UCLA	14	1095	6531	5.96	62	466.50	9	5	0
25	Arizona St.	13	1011	6039	5.97	65	464.54	8	5	0
26	Nebraska	14	1040	6451	6.20	61	460.79	10	4	0
27	Ball St.	13	1035	5944	5.74	52	457.23	9	4	0
28	Tulsa	14	1160	6400	5.52	65	457.14	11	3	0
29	La.-Lafayette	13	873	5919	6.78	58	455.31	9	4	0
30	San Jose St.	13	914	5800	6.35	57	446.15	11	2	0
31	Alabama	14	898	6237	6.95	71	445.50	13	1	0
32	Toledo	13	962	5788	6.02	49	445.23	9	4	0
33	Ohio	13	998	5782	5.79	49	444.77	9	4	0
34	Indiana	12	939	5304	5.65	46	442.00	4	8	0
35	Georgia Tech	14	1002	6175	6.16	63	441.07	7	7	0
36	Cincinnati	13	863	5723	6.63	53	440.23	10	3	0
37	Miami (FL)	12	818	5282	6.46	45	440.17	7	5	0
38	Western Mich.	12	915	5271	5.76	46	439.25	4	8	0
39	Army	12	921	5235	5.68	36	436.25	2	10	0
40	Texas	13	891	5650	6.34	62	434.62	9	4	0
41	Southern California	13	853	5628	6.60	56	432.92	7	6	0
42	La.-Monroe	13	989	5626	5.69	61	432.77	8	5	0
43	Oregon St.	13	946	5609	5.93	54	431.46	9	4	0
44	Rice	13	1026	5556	5.42	50	427.38	7	6	0
45	Akron	12	948	5126	5.41	41	427.17	1	11	0
46	Ole Miss	13	962	5509	5.73	51	423.77	7	6	0
47	Ohio St.	12	837	5085	6.08	60	423.75	12	0	0
48	North Carolina St.	13	1040	5475	5.26	47	421.15	7	6	0
49	Arkansas	12	826	5042	6.10	35	420.17	4	8	0
50	UAB	12	895	5029	5.62	43	419.08	3	9	0
51	Air Force	13	955	5445	5.70	49	418.85	6	7	0
52	Louisville	13	918	5444	5.93	51	418.77	11	2	0
53	Penn St.	12	931	5010	5.38	44	417.50	8	4	0
54	Notre Dame	13	894	5358	5.99	38	412.15	12	1	0
55	Duke	13	990	5319	5.37	50	409.15	6	7	0
56	East Carolina	13	947	5311	5.61	52	408.54	8	5	0
57	UCF	14	939	5703	6.07	67	407.36	10	4	0
58	Purdue	13	957	5235	5.47	50	402.69	6	7	0
59	Kansas St.	13	841	5218	6.20	64	401.38	11	2	0
60	BYU	13	1003	5205	5.19	50	400.38	8	5	0
61	San Diego St.	13	887	5156	5.81	57	396.62	9	4	0
62	Virginia	12	891	4758	5.34	34	396.50	4	8	0
63	Central Mich.	13	828	5132	6.20	47	394.77	7	6	0
64	Northwestern	13	964	5130	5.32	50	394.62	10	3	0
65	Wisconsin	14	926	5506	5.95	55	393.29	8	6	0
66	Middle Tenn.	12	812	4713	5.80	38	392.75	8	4	0
67	North Texas	12	853	4706	5.52	31	392.17	4	8	0
68	Boise St.	13	872	5087	5.83	50	391.31	11	2	0
69	California	12	817	4695	5.75	33	391.25	3	9	0
70	Wyoming	12	852	4687	5.50	43	390.58	4	8	0
71	Pittsburgh	13	884	5071	5.74	41	390.08	6	7	0
72	TCU	13	914	5052	5.53	43	388.62	7	6	0
73	Kent St.	14	942	5436	5.77	58	388.29	11	3	0
74	Western Ky.	13	841	5029	5.98	48	386.85	7	6	0
75	Miami (OH)	12	834	4623	5.54	34	385.25	4	8	0
76	FIU	12	858	4605	5.37	40	383.75	3	9	0
77	Navy	13	872	4982	5.71	42	383.23	8	5	0
78	Michigan	13	820	4980	6.07	48	383.08	8	5	0
79	Mississippi St.	13	848	4965	5.85	49	381.92	8	5	0
80	Vanderbilt	13	874	4936	5.65	47	379.69	9	4	0
81	Virginia Tech	13	944	4898	5.19	38	376.77	7	6	0
82	South Carolina	13	856	4895	5.72	54	376.54	11	2	0
83	Buffalo	12	866	4510	5.21	32	375.83	4	8	0
84	Stanford	14	948	5242	5.53	49	374.43	12	2	0
85	LSU	13	883	4865	5.51	46	374.23	10	3	0
86	UTEP	12	831	4470	5.38	32	372.50	3	9	0
87	New Mexico	13	842	4812	5.71	44	370.15	4	9	0
88	UNLV	13	920	4783	5.20	36	367.92	2	11	0
89	South Fla.	12	836	4410	5.28	28	367.50	3	9	0
90	SMU	13	916	4775	5.21	49	367.31	7	6	0
91	Bowling Green	13	895	4751	5.31	39	365.46	8	5	0
92	Iowa St.	13	923	4734	5.13	41	364.15	6	7	0
93	Kansas	12	871	4324	4.96	27	360.33	1	11	0
94	Washington St.	12	876	4314	4.92	29	359.50	3	9	0
95	Michigan St.	13	957	4671	4.88	27	359.31	7	6	0
96	Missouri	12	867	4277	4.93	39	356.42	5	7	0
97	Washington	13	904	4618	5.11	41	355.23	7	6	0
98	Fla. Atlantic	12	826	4208	5.09	32	350.67	3	9	0
99	Boston College	12	818	4198	5.13	26	349.83	2	10	0
100	Colorado St.	12	750	4068	5.42	33	339.00	4	8	0
101	Eastern Mich.	12	756	4029	5.33	33	335.75	2	10	0
102	New Mexico St.	12	791	4024	5.09	31	335.33	1	11	0
103	Florida	13	827	4347	5.26	39	334.38	11	2	0
104	Rutgers	13	823	4289	5.21	36	329.92	9	4	0
105	Utah	12	797	3893	4.88	42	324.42	5	7	0
106	Southern Miss.	12	792	3874	4.89	29	322.83	0	12	0
107	Temple	11	689	3542	5.14	33	322.00	4	7	0
108	Minnesota	13	847	4178	4.93	35	321.38	6	7	0
109	Tulane	12	816	3834	4.70	28	319.50	2	10	0
110	Connecticut	12	807	3820	4.73	24	318.33	5	7	0
110	Memphis	12	772	3820	4.95	39	318.33	4	8	0
112	Idaho	12	798	3781	4.74	19	315.08	1	11	0
113	Kentucky	12	790	3780	4.78	27	315.00	2	10	0
114	Iowa	12	793	3725	4.70	26	310.42	4	8	0
115	Auburn	12	695	3660	5.27	27	305.00	3	9	0
116	Colorado	12	829	3633	4.38	28	302.75	1	11	0
117	Wake Forest	12	829	3616	4.36	30	301.33	5	7	0
118	Hawaii	12	837	3569	4.26	31	297.42	3	9	0
119	Illinois	12	797	3560	4.47	25	296.67	2	10	0
120	Maryland	12	776	3417	4.40	30	284.75	4	8	0
121 	UTSA	12	798	4683	5.50	47	390.25	8	4	0
122 	Texas St.	12	774	4557	5.85	44	379.75	4	8	0
123 	South Ala.	13	938	4334	5.26	26	333.38	2	11	0
124 	Massachusetts	12	854	3339	4.40	18	278.25	1	11	0