"Stadium","College","Conference","Capacity","Opened"
"Bounce House","Central Florida","AAC","45,301","2007"
"Dowdy Ficklen Stadium","East Carolina","AAC","50,000","1963"
"Gerald Ford Stadium","SMU","AAC","32,000","2000"
"Liberty Bowl","Memphis","AAC","58,325","1965"
"Lincoln Financial Field","Temple","AAC","67,594","2003"
"Memorial Stadium","Navy","AAC","34,000","1959"
"Nippert Stadium","Cincinnati","AAC","40,000","1916"
"Raymond James Stadium","South Florida","AAC","65,890","1998"
"Rentschler Field","Connecticut","AAC","38,000","2003"
"Skelly Field","Tulsa","AAC","30,000","1930"
"TDECU Stadium","Houston","AAC","40,000","2014"
"Yulman Stadium","Tulane","AAC","30,000","2014"
"Alumni Stadium","Boston College","ACC","44,500","1957"
"Bobby Dodd Stadium","Georgia Tech","ACC","55,000","1913"
"Cardinal Stadium","Louisville","ACC","60,800","1998"
"Carrier Dome","Syracuse","ACC","49,057","1980"
"Carter Finley Stadium","NC State","ACC","58,000","1966"
"Doak Campbell Stadium","Florida State","ACC","79,560","1950"
"Hard Rock Stadium","Miami","ACC","65,326","1987"
"Heinz Field","Pittsburgh","ACC","68,400","2001"
"Kenan Stadium","North Carolina","ACC","51,000","1927"
"Lane Stadium","Virginia Tech","ACC","65,632","1965"
"Memorial Stadium","Clemson","ACC","81,500","1942"
"Scott Stadium","Virginia","ACC","61,500","1931"
"Truist Field","Wake Forest","ACC","31,500","1968"
"Wallace Wade Stadium","Duke","ACC","40,004","1929"
"Amon Carter Stadium","TCU","Big 12","45,000","1929"
"Bill Snyder Football Stadium","Kansas State","Big 12","50,000","1968"
"Boone Pickens Stadium","Oklahoma State","Big 12","55,509","1920"
"Jack Trice Stadium","Iowa State","Big 12","61,500","1975"
"Jones AT&T Stadium","Texas Tech","Big 12","60,454","1947"
"McLane Stadium","Baylor","Big 12","45,140","2014"
"Memorial Stadium","Kansas","Big 12","47,000","1921"
"Memorial Stadium","Oklahoma","Big 12","86,112","1925"
"Mountaineer Field","West Virginia","Big 12","60,000","1980"
"Royal Memorial Stadium","Texas","Big 12","100,119","1924"
"Beaver Stadium","Penn State","Big Ten","106,572","1960"
"Camp Randall Stadium","Wisconsin","Big Ten","80,321","1917"
"Kinnick Stadium","Iowa","Big Ten","69,250","1929"
"Maryland Stadium","Maryland","Big Ten","54,000","1950"
"Memorial Stadium","Indiana","Big Ten","52,626","1960"
"Memorial Stadium","Illinois","Big Ten","60,670","1923"
"Memorial Stadium","Nebraska","Big Ten","90,000","1923"
"Michigan Stadium","Michigan","Big Ten","107,601","1927"
"Ohio Stadium","Ohio State","Big Ten","102,780","1922"
"Ross Ade Stadium","Purdue","Big Ten","57,282","1924"
"Ryan Field","Northwestern","Big Ten","47,130","1926"
"SHI Stadium","Rutgers","Big Ten","52,454","1994"
"Spartan Stadium","Michigan State","Big Ten","75,005","1923"
"TCF Bank Stadium","Minnesota","Big Ten","50,805","2009"
"Alamodome","UTSA","CUSA","64,000","1993"
"Apogee Stadium","North Texas","CUSA","30,850","2011"
"Ballard Stadium","Old Dominion","CUSA","21,944","1936"
"FAU Stadium","Florida Atlantic","CUSA","29,571","2011"
"Floyd Stadium","Middle Tennessee","CUSA","30,788","1933"
"Jerry Richardson Stadium","UNC Charlotte","CUSA","15,314","2013"
"Joan Edwards Stadium","Marshall","CUSA","38,019","1991"
"Joe Aillet Stadium","Louisiana Tech","CUSA","28,562","1968"
"Legion Field","UAB","CUSA","71,000","1927"
"LT Smith Stadium","Western Kentucky","CUSA","22,113","1968"
"Riccardo Silva Stadium","Florida International","CUSA","20,000","1995"
"Rice Stadium","Rice","CUSA","47,000","1950"
"Roberts Stadium","Southern Miss","CUSA","36,000","1932"
"Sun Bowl Stadium","UTEP","CUSA","51,500","1963"
"LaVell Edwards Stadium","BYU","Independent","63,470","1965"
"McGuirk Stadium","UMass","Independent","17,000","1965"
"Michie Stadium","Army","Independent","38,000","1924"
"Notre Dame Stadium","Notre Dame","Independent","80,795","1930"
"Williams Stadium","Liberty","Independent","25,000","1989"
"Dix Stadium","Kent State","MAC","25,319","1969"
"Doyt Perry Stadium","Bowling Green","MAC","24,000","1966"
"Glass Bowl","Toledo","MAC","26,248","1937"
"Huskie Stadium","Northern Illinois","MAC","23,595","1965"
"InfoCision Stadium","Akron","MAC","30,000","2009"
"Kelly Shorts Stadium","Central Michigan","MAC","30,255","1972"
"Peden Stadium","Ohio","MAC","24,000","1929"
"Rynearson Stadium","Eastern Michigan","MAC","30,200","1969"
"Scheumann Stadium","Ball State","MAC","22,500","1967"
"UB Stadium","Buffalo","MAC","29,013","1993"
"Waldo Stadium","Western Michigan","MAC","30,200","1939"
"Yager Stadium","Miami-OH","MAC","24,286","1983"
"Albertsons Stadium","Boise State","Mountain West","36,387","1970"
"Allegiant Stadium","UNLV","Mountain West","65,000","1971"
"Aloha Stadium","Hawaii","Mountain West","50,000","1975"
"Bulldog Stadium","Fresno State","Mountain West","40,727","1980"
"Canvas Stadium","Colorado State","Mountain West","36,500","2017"
"CEFCU Stadium","San Jose State","Mountain West","30,456","1933"
"Dignity Health Sports Park","San Diego State","Mountain West","27,000","1967"
"Dreamstyle Stadium","New Mexico","Mountain West","39,224","1960"
"Falcon Stadium","Air Force","Mountain West","46,692","1962"
"MacKay Stadium","Nevada","Mountain West","30,000","1966"
"Maverik Stadium","Utah State","Mountain West","25,513","1968"
"War Memorial Stadium","Wyoming","Mountain West","29,181","1950"
"Arizona Stadium","Arizona","Pac 12","50,782","1928"
"Autzen Stadium","Oregon","Pac 12","54,000","1967"
"Folsom Field","Colorado","Pac 12","53,613","1924"
"Husky Stadium","Washington","Pac 12","70,138","1920"
"Los Angeles Coliseum","USC","Pac 12","78,467","1923"
"Martin Stadium","Washington State","Pac 12","32,952","1972"
"Memorial Stadium","California","Pac 12","63,000","1923"
"Reser Stadium","Oregon State","Pac 12","43,363","1953"
"Rice Eccles Stadium","Utah","Pac 12","45,807","1998"
"Rose Bowl","UCLA","Pac 12","90,888","1921"
"Stanford Stadium","Stanford","Pac 12","50,424","1921"
"Sun Devil Stadium","Arizona State","Pac 12","53,599","1958"
"Ben Hill Griffin Stadium","Florida","SEC","88,548","1930"
"Bryant Denny Stadium","Alabama","SEC","100,077","1929"
"Davis Wade Stadium","Mississippi State","SEC","61,377","1914"
"Faurot Field","Missouri","SEC","61,000","1927"
"Jordan Hare Stadium","Auburn","SEC","87,451","1939"
"Kroger Field","Kentucky","SEC","61,000","1973"
"Kyle Field","Texas A&M","SEC","102,733","1904"
"Neyland Stadium","Tennessee","SEC","102,455","1921"
"Razorback Stadium","Arkansas","SEC","72,000","1938"
"Sanford Stadium","Georgia","SEC","92,746","1929"
"Tiger Stadium","LSU","SEC","102,321","1924"
"Vanderbilt Stadium","Vanderbilt","SEC","40,350","1922"
"Vaught Hemingway Stadium","Mississippi","SEC","64,038","1915"
"Williams Brice Stadium","South Carolina","SEC","80,250","1934"
"Aggie Memorial Stadium","New Mexico State","Sun Belt","28,853","1978"
"Bobcat Stadium","Texas State","Sun Belt","30,000","1981"
"Brooks Stadium","Coastal Carolina","Sun Belt","20,000","2003"
"Cajun Field","Louisiana-Lafayette","Sun Belt","41,426","1971"
"Centennial Bank Stadium","Arkansas State","Sun Belt","30,406","2002"
"Center Parc Credit Union Stadium","Georgia State","Sun Belt","24,333","1996"
"Hancock Whtney Stadium","South Alabama","Sun Belt","25,450","1948"
"Kibbie Dome","Idaho","Sun Belt","16,000","1975"
"Kidd Brewer Stadium","Appalachian State","Sun Belt","30,000","1962"
"Malone Stadium","Louisiana-Monroe","Sun Belt","27,617","1978"
"Paulson Stadium","Georgia Southern","Sun Belt","25,000","1984"
"Veterans Memorial Stadium","Troy","Sun Belt","30,000","1950"